id_transacao,vendas_diarias,itens_vendidos,tempo_atendimento,avaliacao_cliente,custo_operacional,data
234,4751.84,2,9.1,2.6,1394.88,2025-08-22
235,3606.01,4,7.0,3.0,2041.09,2025-08-23
236,1709.83,6,0.5,4.4,723.89,2025-08-24
237,3507.14,48,28.5,3.2,1159.24,2025-08-25
238,3472.52,11,7.5,4.4,1728.51,2025-08-26
239,2264.46,4,3.9,4.1,1503.49,2025-08-27
240,3171.18,7,1.7,2.9,1224.33,2025-08-28
241,3423.84,7,4.1,4.2,1751.81,2025-08-29
242,2424.12,3,0.2,4.7,1229.48,2025-08-30
243,3566.2,7,4.5,4.1,2075.17,2025-08-31
244,2284.31,5,7.6,3.8,970.48,2025-09-01
245,4839.12,2,20.5,4.7,1483.8,2025-09-02
246,2663.21,9,11.6,3.5,1031.03,2025-09-03
247,2214.79,6,1.2,3.8,885.5,2025-09-04
248,3251.4,3,1.6,2.1,1256.13,2025-09-05
249,3496.54,6,5.6,4.6,1447.09,2025-09-06
250,2638.15,3,2.2,4.4,1123.74,2025-09-07
251,3293.28,2,0.3,3.0,1213.09,2025-09-08
252,4479.16,8,16.3,4.6,2314.78,2025-09-09
253,3594.61,4,0.2,4.4,1037.08,2025-09-10
254,1022.68,5,17.8,4.9,449.51,2025-09-11
255,1506.19,4,1.6,3.1,544.93,2025-09-12
256,4481.82,3,36.8,4.9,1220.97,2025-09-13
257,9311.83,4,9.3,5.0,4480.66,2025-09-14
258,2385.76,3,13.3,1.7,790.05,2025-09-15
259,3272.92,11,1.2,5.0,2160.67,2025-09-16
260,2673.54,6,19.8,4.6,1380.73,2025-09-17
261,2538.49,5,18.3,3.2,1443.41,2025-09-18
262,3038.47,5,10.6,2.5,887.44,2025-09-19
263,3545.51,5,7.0,4.4,1221.17,2025-09-20
264,2455.98,3,12.8,4.6,1544.12,2025-09-21
265,2111.54,6,0.1,5.0,912.84,2025-09-22
266,3926.49,4,9.0,4.5,1203.95,2025-09-23
267,2629.27,5,18.8,5.0,561.53,2025-09-24
268,3223.97,3,4.4,4.9,1683.79,2025-09-25
269,2338.22,7,1.1,4.3,985.24,2025-09-26
270,2912.99,3,5.5,4.9,1115.75,2025-09-27
271,2647.96,6,13.0,5.0,1215.64,2025-09-28
272,2433.86,7,1.1,4.8,832.62,2025-09-29
273,2015.31,1,2.3,4.5,820.48,2025-09-30
274,3608.33,6,1.6,2.5,1627.76,2025-10-01
275,3096.24,4,15.9,1.4,1267.47,2025-10-02
276,2548.74,2,0.6,3.6,932.26,2025-10-03
277,1784.5,2,11.6,4.9,913.65,2025-10-04
278,3411.55,5,4.6,1.7,1524.85,2025-10-05
279,2418.29,5,14.1,4.8,1250.66,2025-10-06
280,12861.47,3,33.3,2.4,5095.25,2025-10-07
281,2803.69,5,1.2,4.3,1151.15,2025-10-08
282,2339.6,11,3.8,3.6,1372.51,2025-10-09
283,2760.79,2,16.6,4.9,916.92,2025-10-10
284,2308.81,6,3.1,4.4,1447.72,2025-10-11
285,2984.79,5,2.4,2.9,1244.17,2025-10-12
286,4239.95,3,17.5,2.4,1649.72,2025-10-13
287,2630.18,4,43.5,3.7,1582.83,2025-10-14
288,2642.85,45,8.1,4.9,1469.38,2025-10-15
289,1464.98,1,3.3,4.5,767.93,2025-10-16
290,1432.26,8,5.1,4.7,229.02,2025-10-17
291,2381.59,3,1.9,2.2,773.41,2025-10-18
292,2910.14,5,14.4,4.4,1602.52,2025-10-19
293,3545.2,4,14.8,5.0,1621.03,2025-10-20
294,2585.91,11,20.8,4.7,785.61,2025-10-21
295,4136.4,3,0.3,2.3,2340.18,2025-10-22
296,5021.55,4,8.3,4.4,2072.5,2025-10-23
297,3456.71,3,2.4,2.4,1663.86,2025-10-24
298,3650.81,3,4.2,4.0,1538.29,2025-10-25
299,2137.8,8,15.4,3.6,990.7,2025-10-26
300,2096.76,1,2.1,4.6,1163.72,2025-10-27
301,2345.42,5,10.2,4.1,1178.66,2025-10-28
302,1943.63,7,10.6,3.3,1089.76,2025-10-29
303,2873.59,3,30.8,4.3,939.38,2025-10-30
304,2552.86,7,14.9,3.1,1471.08,2025-10-31
305,1732.88,5,16.3,4.2,874.23,2025-11-01
306,3206.04,7,7.6,3.8,1906.75,2025-11-02
307,2784.47,5,2.1,4.9,1473.77,2025-11-03
308,3901.25,7,5.5,4.9,1673.4,2025-11-04
309,4302.89,5,8.0,3.2,2772.6,2025-11-05
310,1671.23,4,11.3,4.6,442.12,2025-11-06
311,4083.1,5,9.4,2.2,1792.24,2025-11-07
312,11036.7,11,5.0,2.5,5478.0,2025-11-08
313,2313.31,7,3.1,4.7,890.02,2025-11-09
314,1697.97,6,1.8,2.0,916.16,2025-11-10
315,3398.4,3,11.8,4.4,1416.46,2025-11-11
316,2085.62,0,10.4,4.7,862.87,2025-11-12
317,3521.11,10,11.6,4.2,865.0,2025-11-13
318,4436.7,5,4.7,4.0,2398.29,2025-11-14
319,2501.84,5,3.0,4.5,885.38,2025-11-15
320,2620.04,3,14.3,4.8,1256.88,2025-11-16
321,3866.44,4,14.9,4.2,2152.36,2025-11-17
322,2501.49,2,6.1,4.1,1135.36,2025-11-18
323,2135.15,2,9.5,3.3,827.99,2025-11-19
324,2973.5,7,4.7,4.9,965.59,2025-11-20
325,3078.14,3,12.1,4.8,1517.51,2025-11-21
326,3156.68,1,18.1,3.8,2069.09,2025-11-22
327,2658.5,3,11.7,1.9,1586.92,2025-11-23
328,2143.93,7,7.2,3.4,1126.13,2025-11-24
329,2519.49,5,6.1,4.8,827.09,2025-11-25
330,3845.7,5,10.3,3.7,1241.59,2025-11-26
331,1593.01,4,11.4,1.7,567.07,2025-11-27
332,2800.83,5,8.2,3.1,1009.62,2025-11-28
333,3367.34,5,9.8,4.1,1317.43,2025-11-29
334,3601.55,3,1.0,4.5,1302.8,2025-11-30
335,2189.74,3,30.3,5.0,1394.93,2025-12-01
336,3685.12,6,15.6,3.1,1205.48,2025-12-02
337,2870.97,6,4.7,3.2,824.42,2025-12-03
338,3048.18,4,8.3,3.7,1834.79,2025-12-04
339,2685.33,9,0.5,4.7,1191.31,2025-12-05
340,3355.41,6,0.4,1.6,1795.47,2025-12-06
341,2526.08,5,2.9,4.7,1080.26,2025-12-07
342,4465.17,5,11.7,4.9,2164.34,2025-12-08
343,3036.46,4,19.1,4.8,847.26,2025-12-09
344,3051.42,10,8.2,4.7,824.23,2025-12-10
345,3173.17,6,7.6,3.8,1598.56,2025-12-11
346,2479.49,2,5.1,5.0,1424.83,2025-12-12
347,3484.81,4,1.8,4.2,2271.23,2025-12-13
348,2978.79,3,1.3,3.2,1716.02,2025-12-14
349,2691.93,2,14.3,4.6,837.84,2025-12-15
350,2153.83,5,26.2,4.9,1166.55,2025-12-16
351,3434.69,6,6.1,4.7,1220.02,2025-12-17
352,2774.57,5,10.8,4.6,1613.67,2025-12-18
353,2031.19,10,24.6,5.0,645.53,2025-12-19
354,3697.86,5,0.9,1.7,1623.3,2025-12-20
355,2803.41,5,14.7,3.6,1327.73,2025-12-21
356,4094.91,4,9.6,4.7,2660.29,2025-12-22
357,4571.78,4,9.1,3.9,1228.67,2025-12-23
358,2941.74,3,3.5,4.5,1397.48,2025-12-24
359,3696.9,6,11.5,2.1,1641.12,2025-12-25
360,4201.89,4,15.8,1.5,2191.22,2025-12-26
361,2389.39,2,1.2,4.8,375.28,2025-12-27
362,2742.89,9,7.6,2.3,1470.06,2025-12-28
363,3500.53,5,1.1,2.4,1371.24,2025-12-29
364,2679.02,9,20.6,5.0,1263.84,2025-12-30
365,3580.61,5,7.1,4.9,1560.39,2025-12-31
366,3763.2,5,16.5,4.1,1855.81,2026-01-01
367,3193.57,1,4.6,4.7,1264.91,2026-01-02
368,1855.38,5,1.3,3.7,1130.4,2026-01-03
369,3650.81,8,0.4,4.5,1599.04,2026-01-04
370,2742.35,6,3.3,2.7,1871.06,2026-01-05
371,1772.71,2,2.8,4.4,1088.36,2026-01-06
372,2949.86,5,8.2,3.4,1213.93,2026-01-07
373,2824.72,5,0.2,4.8,961.33,2026-01-08
374,3155.27,4,7.4,4.2,1351.17,2026-01-09
375,2611.71,6,5.0,5.0,1461.01,2026-01-10
376,3120.32,5,8.6,4.8,1472.59,2026-01-11
377,2143.29,6,12.1,3.8,1165.93,2026-01-12
378,11713.91,5,10.1,4.8,4052.77,2026-01-13
379,3142.16,4,41.8,1.2,1484.85,2026-01-14
380,3179.03,7,1.5,4.7,1041.16,2026-01-15
381,4183.96,5,5.6,3.1,2189.94,2026-01-16
382,1346.05,7,5.5,3.8,789.01,2026-01-17
383,3234.46,6,5.4,4.9,1465.17,2026-01-18
384,2928.21,4,10.9,4.7,827.4,2026-01-19
385,5463.1,8,6.7,4.9,3398.79,2026-01-20
386,2851.47,4,7.3,3.4,1423.23,2026-01-21
387,2642.79,3,5.7,4.7,940.09,2026-01-22
388,3261.54,5,47.9,3.0,1808.86,2026-01-23
389,2114.93,10,26.3,3.3,1021.17,2026-01-24
390,4203.19,6,3.7,4.2,1460.61,2026-01-25
391,2712.57,4,1.2,4.4,1394.09,2026-01-26
392,9627.41,3,18.3,2.1,5618.86,2026-01-27
393,3526.84,3,58.7,3.8,1968.03,2026-01-28
394,3106.38,5,3.5,2.6,1427.94,2026-01-29
395,13284.52,2,4.4,3.7,7801.95,2026-01-30
396,2353.36,6,28.4,3.0,1337.52,2026-01-31
397,3258.17,2,12.4,1.9,1037.71,2026-02-01
398,3951.21,5,3.5,4.0,1806.81,2026-02-02
399,3930.53,2,8.7,4.8,1630.11,2026-02-03
400,3157.49,6,28.9,4.1,1468.51,2026-02-04
401,2725.83,3,16.7,4.3,1402.8,2026-02-05
402,3004.19,5,13.5,4.9,1636.48,2026-02-06
403,3619.71,2,13.4,4.6,1677.03,2026-02-07
404,3236.9,6,2.0,4.2,1566.23,2026-02-08
405,3734.29,6,17.4,3.8,1371.55,2026-02-09
406,4440.75,7,3.2,2.5,2027.53,2026-02-10
407,1409.94,6,26.6,4.4,538.44,2026-02-11
408,2852.81,6,4.5,2.6,1565.14,2026-02-12
409,2178.79,4,19.5,3.7,1166.05,2026-02-13
410,1788.12,4,3.1,4.2,546.08,2026-02-14
411,2725.85,7,7.2,4.0,678.09,2026-02-15
412,3499.3,5,1.1,3.9,1951.5,2026-02-16
413,14225.81,5,10.8,1.7,8175.18,2026-02-17
414,3004.09,8,18.1,2.8,1448.7,2026-02-18
415,1943.81,4,12.7,3.9,551.1,2026-02-19
416,4182.32,2,7.4,2.7,1860.17,2026-02-20
417,3745.02,3,0.5,4.5,1279.81,2026-02-21
418,3265.85,4,27.1,5.0,1208.89,2026-02-22
419,4093.5,6,12.2,2.1,1203.22,2026-02-23
420,3023.8,9,13.7,4.1,1090.56,2026-02-24
421,2922.63,3,15.8,4.7,1198.15,2026-02-25
422,1975.76,5,13.8,3.9,411.69,2026-02-26
423,2053.39,3,5.8,4.7,977.0,2026-02-27
424,2967.87,2,13.2,3.7,1511.32,2026-02-28
425,3152.88,4,9.8,4.9,2052.84,2026-03-01
426,1781.45,9,19.2,1.8,748.52,2026-03-02
427,2812.68,4,16.2,4.7,1018.8,2026-03-03
428,3539.86,5,0.4,4.8,1182.3,2026-03-04
429,3177.71,8,4.8,2.6,1582.86,2026-03-05
430,3656.39,8,0.4,4.9,1297.32,2026-03-06
431,2960.43,5,1.1,3.5,1585.76,2026-03-07
432,3695.68,3,9.2,1.8,1771.33,2026-03-08
433,2752.36,9,20.7,2.9,1980.17,2026-03-09
434,2425.24,2,1.3,4.8,1367.32,2026-03-10
435,2555.62,8,6.0,2.4,1427.7,2026-03-11
436,2591.99,7,24.2,3.8,1275.76,2026-03-12
437,2273.95,6,16.8,4.3,808.33,2026-03-13
438,2866.31,9,7.3,3.1,764.63,2026-03-14
439,1924.44,3,14.8,4.9,890.78,2026-03-15
440,3748.54,6,7.4,3.2,1841.48,2026-03-16
441,2518.63,7,1.7,3.8,850.55,2026-03-17
442,2914.38,7,1.3,4.3,1085.24,2026-03-18
443,3774.92,5,2.1,4.8,2334.99,2026-03-19
444,1829.19,5,4.3,4.6,762.73,2026-03-20
445,2546.96,1,26.7,3.3,1075.5,2026-03-21
446,2972.01,7,16.1,4.4,1208.02,2026-03-22
447,2335.24,4,5.7,4.7,1287.15,2026-03-23
448,2928.7,7,6.8,1.7,1062.33,2026-03-24
449,2938.32,5,3.1,4.7,1914.2,2026-03-25
450,3802.83,5,12.2,4.7,1637.4,2026-03-26
451,3073.41,3,16.2,3.5,1286.08,2026-03-27
452,2171.81,5,2.7,4.4,676.67,2026-03-28
453,2781.82,5,0.4,4.4,992.86,2026-03-29
454,3414.13,4,9.8,3.6,1808.23,2026-03-30
455,3393.54,3,8.3,4.8,985.77,2026-03-31
456,3570.4,3,5.1,2.3,1138.35,2026-04-01
457,1963.94,5,10.3,4.8,1088.5,2026-04-02
458,2609.92,10,8.0,4.6,1426.09,2026-04-03
459,2538.48,2,2.9,4.8,708.1,2026-04-04
460,3352.01,5,5.1,2.4,1924.9,2026-04-05
461,3273.4,3,5.6,4.3,1077.03,2026-04-06
462,3061.89,4,21.2,4.6,1357.94,2026-04-07
463,3014.73,6,32.4,4.7,1885.69,2026-04-08
464,3149.16,3,22.3,4.0,1149.42,2026-04-09
465,3120.24,4,12.7,3.0,1548.68,2026-04-10
466,1931.72,4,8.8,3.6,1082.85,2026-04-11
467,2940.44,5,11.7,3.5,974.19,2026-04-12
468,3188.49,8,28.0,4.9,1709.29,2026-04-13
469,2509.77,5,2.9,2.2,500.17,2026-04-14
470,2686.31,6,7.7,3.7,1255.77,2026-04-15
471,2343.45,3,11.7,3.8,891.34,2026-04-16
472,3224.79,4,11.4,4.8,991.85,2026-04-17
473,2838.25,5,2.9,2.9,1728.53,2026-04-18
474,4697.72,6,8.8,2.5,2439.48,2026-04-19
475,3090.81,7,15.9,2.0,1416.67,2026-04-20
476,4730.6,5,6.4,4.2,2123.92,2026-04-21
477,2564.49,2,15.8,3.0,752.18,2026-04-22
478,2001.77,6,4.5,4.4,1384.81,2026-04-23
479,2612.61,4,27.9,4.7,1096.82,2026-04-24
480,4956.6,2,7.6,4.4,2006.13,2026-04-25
481,1811.55,4,9.1,3.4,1075.91,2026-04-26
482,3065.83,2,0.3,2.8,998.06,2026-04-27
483,2190.32,3,1.9,4.7,1233.13,2026-04-28
