Artist,Track
Loleatta Holloway,Hit and Run
Loleatta Holloway,Love Sensation
Loleatta Holloway,"Part Time Lover, Full Time Fool"
Love Unlimited,I Belong To You
Love Unlimited,Walkin' In The Rain With The One I Love
Madleen Kane,Fever / Make Me Like It
Madleen Kane,Forbidden Love / Fire in Your Heart
Madleen Kane,Rough Diamond
Madleen Kane,Secret Love Affair
Madleen Kane,Touch My Heart
Madleen Kane,You and I
Melba Moore,Do You Really Want My Love
Melba Moore,King Of My Heart
Melba Moore,Love Of A Lifetime
Melba Moore,Love's Comin at Ya
Melba Moore,Mind Up Tonight
Melba Moore,"Pick Me Up, I'll Dance - 12"" Mix"
Melba Moore,Standing Right Here
Melba Moore,This Is It
Melba Moore,Where Did You Ever Go
Melba Moore,You Stepped Into My Life
MFSB,Back Stabbers
MFSB,Family Affair (feat. Leon Huff)
MFSB,Let's Go Disco - Single Version
MFSB,Love Is the Message
MFSB,My Mood
MFSB,My One and Only Love
MFSB,Old San Juan
MFSB,Poinciana
MFSB,Sexy
MFSB,T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees)
Michael Jackson,Ain't No Sunshine
Michael Jackson,Burn This Disco Out
Michael Jackson,Don't Stop 'Til You Get Enough
Michael Jackson,Get on the Floor
Michael Jackson,I Can't Help It
Michael Jackson,Off the Wall
Michael Jackson,Rock with You - Single Version
Michael Jackson,Shake Your Body (Down to the Ground) - Single Edit
Michael Jackson,She's Out of My Life - Single Version
Neal McCoy,Wink
Odyssey,Each Day I Fall in Love with You Again
Odyssey,Inside Out
Odyssey,Native New Yorker
Odyssey,Use It Up and Wear It Out
Ohio Players,Ecstasy
Ohio Players,Fire
Ohio Players,Funky Worm
Ohio Players,I Want To Be Free
Ohio Players,Jive Turkey
Ohio Players,Love Rollercoaster
Ohio Players,Runnin From The Devil
Ohio Players,Skin Tight
Ohio Players,Sweet Sticky Thing
Patrick Hernandez,Back to Boogie
Patrick Hernandez,Born to Be Alive - The Original
Patrick Hernandez,Disco Queen
Patrick Hernandez,Down on easy street
Patrick Hernandez,I Give You a Rendez-Vous
Patrick Hernandez,Losing sleep over you
Patrick Hernandez,Slow Down
Peter Brown,"Baby Gets High - 12"""
Peter Brown,Can't Be Love (Do It to Me Anyway)
Peter Brown,Dance with Me
Peter Brown,Do Ya Wanna Get Funky with Me
Peter Brown,Love Is Just the Game
Peter Brown,They Only Come Out at Night
Peter Brown,You Should Do It
Rick James,Bustin' Out (On Funk)
Rick James,Cold Blooded
Rick James,Ghetto Life
Rick James,Give It To Me Baby
Rick James,Love Gun
Rick James,Mary Jane
Rick James,Super Freak
Rick James,This Magic Moment / Dance with Me - Remix
Rick James,You And I
Rose Royce,Car Wash - Single Version
Rose Royce,Do Your Dance
Rose Royce,I Wanna Get Next To You
Rose Royce,I'm Going Down
Rose Royce,Is It Love You’re After
Rose Royce,Love Don't Live Here Anymore
Rose Royce,Ooh Boy
Rose Royce,Pop Your Fingers
Rose Royce,Wishing on a Star
Rose Royce,You're My World Girl
Rufus,Ain't Nobody
Rufus,Everlasting Love
Rufus,Hollywood
Rufus,Once You Get Started
Rufus,Sweet Thing
Rufus & Chaka Khan,Do You Love What You Feel
Rufus & Chaka Khan,Stay
Rufus & Chaka Khan,Tell Me Something Good
Shalamar,A Night to Remember
Shalamar,Dancing in the Sheets
Shalamar,Dead Giveaway
Shalamar,I Can Make You Feel Good
Shalamar,I Don't Wanna Be the Last to Know
Shalamar,I Owe You One
Shalamar,Make That Move
Shalamar,Right in the Socket
Shalamar,The Second Time Around
Shalamar,There It Is - Extended Mix
Sharon Redd,Beat the Street
Sharon Redd,Can You Handle It
Sharon Redd,In the Name of Love
Sharon Redd,Love How You Feel
Sharon Redd,Love Insurance - Album Mix
Sharon Redd,Love Is Gonna Get Ya
Sharon Redd,Never Give You Up
Sharon Redd,You Got My Love
Silver Convention,Always Another Girl
Silver Convention,Fly Robin Fly
Silver Convention,Fly Robin Fly - Alternate Mix
Silver Convention,Get Up and Boogie - That's Right
Silver Convention,I Like It
Silver Convention,No No Joe
Silver Convention,San Francisco Hustle
Silver Convention,Telegram
Sister Sledge,All American Girls
Sister Sledge,Frankie
Sister Sledge,Got to Love Somebody
Sister Sledge,He's the Greatest Dancer - 1995 Remaster
Sister Sledge,Lost in Music - 1995 Remaster
Sister Sledge,Love Don't You Go Through No Changes on Me
Sister Sledge,Reach Your Peak
Sister Sledge,Thinking of You - 1995 Remaster
Sister Sledge,We Are Family - 1995 Remaster
Stephanie Mills,I Feel Good All Over
Stephanie Mills,Never Knew Love Like This Before
Stephanie Mills,Put Your Body In It
Stephanie Mills,Sweet Sensation - Fantasy Love Affair Rework
Stephanie Mills,What Cha Gonna Do With My Lovin'
Stephanie Mills,You And I
Stephanie Mills,You Can Get Over
Stephanie Mills,"You Can't Run From My Love - 12"" Remix"
Stevie Wonder,All I Do
Stevie Wonder,Another Star
Stevie Wonder,Do I Do
Stevie Wonder,Happy Birthday
Stevie Wonder,I Wish
Stevie Wonder,Isn't She Lovely
Stevie Wonder,Master Blaster (Jammin')
Stevie Wonder,Pastime Paradise
Stevie Wonder,Sir Duke
Stevie Wonder,Superstition
Sylvester,Can't Stop Dancing
Sylvester,Dance (Disco Heat)
Sylvester,I (Who Have Nothing)
Sylvester,I Need Somebody To Love Tonight
Sylvester,Never Too Late
Sylvester,Over And Over
Sylvester,Someone Like You
Sylvester,You Make Me Feel (Mighty Real)
T-Connection,At Midnight
T-Connection,Disco Magic
T-Connection,Do What You Wanna Do
T-Connection,Everything Is Cool
T-Connection,Groove to Get Down
T-Connection,Midnight Train
T-Connection,Saturday Night
T-Connection,The Best Of My Love - 2004 Digital Remaster
Tavares,Don't Take Away The Music
Tavares,Heaven Must Be Missing An Angel - Pt. 1
Tavares,It Only Takes A Minute
Tavares,More Than A Woman
Tavares,Remember What I Told You To Forget
Tavares,She's Gone
Tavares,The Love I Never Had
Tavares,Too Late
Teddy Pendergrass,Come Go with Me
Teddy Pendergrass,"Get Up, Get Down, Get Funky, Get Loose"
Teddy Pendergrass,I Don't Love You Anymore
Teddy Pendergrass,Love T.K.O.
Teddy Pendergrass,Only You
Teddy Pendergrass,Somebody Told Me
Teddy Pendergrass,"The More I Get, the More I Want"
Teddy Pendergrass,The Whole Town's Laughing at Me
Teddy Pendergrass,When Somebody Loves You Back
Teddy Pendergrass,"You're My Latest, My Greatest Inspiration"
Teena Marie,Behind The Groove
Teena Marie,Cassanova Brown
Teena Marie,I'm A Sucker For Your Love
Teena Marie,It Must Be Magic
Teena Marie,Lovergirl
Teena Marie,Square Biz
The Emotions,Best of My Love
The Emotions,Don't Ask My Neighbors
The Emotions,I Don't Wanna Lose Your Love
The Gap Band,All Of My Love
The Gap Band,Burn Rubber On Me (Why You Wanna Hurt Me)
The Gap Band,Humpin'
The Gap Band,"I Don't Believe You Want To Get Up And Dance (Oops, Up Side Your Head)"
The Gap Band,No Hiding Place
The Gap Band,Party Lights
The Gap Band,Shake
The Gap Band,Steppin' Out
The Gap Band,Yearning For Your Love
The Gap Band,You Dropped A Bomb On Me
The Isley Brothers,Between the Sheets
The Isley Brothers,"Coolin' Me Out, Pts. 1 & 2"
The Isley Brothers,"Fight the Power, Pts. 1 & 2"
The Isley Brothers,"For the Love of You, Pts. 1 & 2"
The Isley Brothers,"Groove with You, Pts. 1 & 2"
The Isley Brothers,Harvest for the World
The Isley Brothers,It's Your Thing
The Isley Brothers,"Take Me to the Next Phase, Pts. 1 & 2"
The Isley Brothers,"That Lady, Pts. 1 & 2"
The Jacksons,Blame It on the Boogie
The Jacksons,Can You Feel It
The Jacksons,Dancing Machine / Blame It on the Boogie - Immortal Version
The Jacksons,Enjoy Yourself
The Jacksons,Lovely One
The Jacksons,Push Me Away
The Jacksons,"Shake Your Body (Down to the Ground) - 7"" Version"
The Jacksons,State of Shock
The Jacksons,This Place Hotel (a.k.a. Heartbreak Hotel)
The Love Unlimited Orchestra,Love's Theme
The O'Jays,Back Stabbers
The O'Jays,For the Love of Money
The O'Jays,I Love Music
The O'Jays,Let Me Make Love To You
The O'Jays,Livin' for the Weekend
The O'Jays,Love Train
The O'Jays,Message In Our Music
The O'Jays,Put Your Hands Together
The O'Jays,Time to Get Down
The O'Jays,Unity
The Pointer Sisters,Automatic
The Pointer Sisters,Dare Me
The Pointer Sisters,Fire
The Pointer Sisters,He's so Shy
The Pointer Sisters,I'm So Excited
The Pointer Sisters,Jump (For My Love)
The Pointer Sisters,Neutron Dance
The Pointer Sisters,Should I Do It
The Pointer Sisters,Slow Hand
The Pointer Sisters,Yes We Can Can
The Real Thing,Boogie Down (Get Funky Now)
The Real Thing,Can't Get By Without You
The Real Thing,Let&apos;s Go Disco
The Real Thing,Love Is Such a Wonderful Thing
The Real Thing,Raining Through My Sunshine
The Real Thing,She's A Groovy Freak
The Real Thing,Whenever You Want My Love
The Real Thing,You To Me Are Everything
The Ritchie Family,All Right On the Night
The Ritchie Family,American Generation
The Ritchie Family,Istanbul
The Ritchie Family,One and Only
The Ritchie Family,This Love On Me
The S.O.S Band,I'm Still Missing Your Love
The S.O.S Band,Just Be Good To Me
The S.O.S Band,Take Your Time (Do It Right)
The Salsoul Orchestra,"Chicago Bus Stop (Ooh, I Love It) ( DJ Spinna ReFreak)"
The Salsoul Orchestra,Get Happy
The Salsoul Orchestra,Magic Bird of Fire
The Salsoul Orchestra,Ooh I Love It (Love Break)
The Salsoul Orchestra,Run Away
The Salsoul Orchestra,Salsoul Hustle
The Salsoul Orchestra,Tangerine
The Spinners,Games People Play
The Spinners,How Could I Let You Get Away
The Spinners,I'll Be Around
The Spinners,Love Don't Love Nobody
The Spinners,One of a Kind (Love Affair)
The Spinners,The Rubberband Man
The Spinners,"Working My Way Back to You / Forgive Me, Girl"
The Stylistics,Betcha by Golly Wow (Live)
The Stylistics,Break Up To Make Up
The Stylistics,I'm Stone In Love With You
The Stylistics,Let's Put It All Together
The Stylistics,Love Is The Answer
The Stylistics,Star On A TV Show
The Stylistics,You Make Me Feel Brand New
The Stylistics,You’ll Never Get To Heaven If You Break My Heart
The Three Degrees,Dirty Ol' Man
The Three Degrees,"Giving Up, Giving In"
The Three Degrees,Long Lost Lover
The Three Degrees,Maybe
The Three Degrees,Take Good Care of Yourself
The Three Degrees,The Runner
The Three Degrees,When Will I See You Again
The Three Degrees,Woman in Love
The Three Degrees,Year Of Decision
The Trammps,Disco Inferno
The Trammps,Hooked for Life
The Trammps,Love Epidemic
The Trammps,Shout
The Trammps,Sixty Minute Man
The Trammps,That's Where the Happy People Go
The Trammps,The Night the Lights Went Out
The Trammps,Where Do We Go from Here?
The Whispers,A Song For Donny
The Whispers,And the Beat Goes On - Radio Version
The Whispers,It's a Love Thing
The Whispers,Keep On Lovin' Me
The Whispers,Lady
The Whispers,Rock Steady
The Whispers,Rock Steady - Radio Edit
The Whispers,Seems Like I Gotta Do Wrong
Thelma Houston,Don't Leave Me This Way
Thelma Houston,I'm Here Again
Thelma Houston,I've Got The Music in Me
Thelma Houston,If You Feel It
Thelma Houston,Reachin' All Around My Love
Thelma Houston,"Saturday Night, Sunday Morning"
Thelma Houston,Suspicious Minds
Thelma Houston,You Used To Hold Me So Tight
Tina Charles,Dance Little Lady Dance
Tina Charles,Disco Fever
Tina Charles,Dr Love
Tina Charles,Fallin' In Love In Summertime
Tina Charles,Fallin' in Love with a Boy Like You
Tina Charles,Gonna Get Along Without You
Tina Charles,I Love to Love (But My Baby Loves to Dance)
Tina Charles,Love Bug / Sweets For My Sweet
Tina Charles,Love Me Like A lover
Tina Charles,You Set My Heart On Fire - Part 1
Tom Tom Club,Don't Say No
Tom Tom Club,Genius of Love
Tom Tom Club,Genius of Love - Long Version
Tom Tom Club,Under the Boardwalk
Tom Tom Club,Wordy Rappinghood
Van McCoy,"Hey Girl, Come & Get It"
Van McCoy,Love Is The Answer
Van McCoy,Soul Cha Cha
Van McCoy,The Hustle - Original Mix
Van Morrison,Jackie Wilson Said (I'm in Heaven When You Smile)
Vicki Sue Robinson,Common Thief
Vicki Sue Robinson,Daylight
Vicki Sue Robinson,Hold Tight
Vicki Sue Robinson,Hope Your Feelings Are Like Mine
Vicki Sue Robinson,Nighttime Fantasy
Vicki Sue Robinson,Turn the Beat Around
Vicki Sue Robinson,When You're Lovin' Me
Village People,Go West
Village People,Hot Cop
Village People,In The Navy
Village People,Macho Man
Village People,San Francisco (You've Got Me)
Village People,Sodom And Gomorrah
Village People,Y.M.C.A.
Voyage,Follow the Brightest Star
Voyage,From East to West
Voyage,I Love You Dancer
Voyage,I Surrender
Voyage,Lady America
Voyage,Let's Fly Away
Voyage,Scotch Machine
Voyage,Souvenirs
Voyage,"Tahiti, Tahiti…"
